Model,TechNode,Subarray,MemCell,Dataflow,Layer,Latency,Energy,Operations,Mem_Reads,Mem_Writes,L1_Accesses,L2_Accesses,DRAM_Accesses,DRAM_to_Xbar,Xbar_to_ADC,OutputStationary,PE_to_Output,Weight_to_PE,ADC_to_GB,PE_to_Register,Register_to_PE
densenet40,22,256,2,IMC,QConv2d_135215542102752,9e-06,2.5e-05,3145728,3148032,3145728,1574016,1049344,314803,3145728,3145728,0,0,0,3145728,0,0
densenet40,22,256,2,IMC,QConv2d_135215542102944,1e-05,6e-06,786432,3150912,786432,1575456,1050304,315091,3145728,786432,0,0,0,786432,0,0
densenet40,22,256,2,IMC,QConv2d_135215542103472,9e-06,2.5e-05,3145728,3935040,3145728,1967520,1311680,393504,3932160,3145728,0,0,0,3145728,0,0
densenet40,22,256,2,IMC,QConv2d_135215542103664,2.5e-05,6e-06,786432,3150912,786432,1575456,1050304,315091,3145728,786432,0,0,0,786432,0,0
densenet40,22,256,2,IMC,QConv2d_135215542103808,1.1e-05,2.5e-05,3145728,4722048,3145728,2361024,1574016,472204,4718592,3145728,0,0,0,3145728,0,0
densenet40,22,256,2,IMC,QConv2d_135215542099824,1e-05,6e-06,786432,3150912,786432,1575456,1050304,315091,3145728,786432,0,0,0,786432,0,0
densenet40,22,256,2,IMC,QConv2d_135215542104336,1.1e-05,2.5e-05,3145728,5509056,3145728,2754528,1836352,550905,5505024,3145728,0,0,0,3145728,0,0
densenet40,22,256,2,IMC,QConv2d_135215542104528,2.1e-05,6e-06,786432,3150912,786432,1575456,1050304,315091,3145728,786432,0,0,0,786432,0,0
densenet40,22,256,2,IMC,QConv2d_135215542105344,1e-05,2.5e-05,3145728,6296064,3145728,3148032,2098688,629606,6291456,3145728,0,0,0,3145728,0,0
densenet40,22,256,2,IMC,QConv2d_135215542105872,1e-05,6e-06,786432,788736,786432,394368,262912,78873,786432,786432,0,0,0,786432,0,0
densenet40,22,256,2,IMC,QConv2d_135215542106064,7e-06,2e-06,196608,791616,196608,395808,263872,79161,786432,196608,0,0,0,196608,0,0
densenet40,22,256,2,IMC,QConv2d_135215542106640,1e-05,6e-06,786432,985920,786432,492960,328640,98592,983040,786432,0,0,0,786432,0,0
densenet40,22,256,2,IMC,QConv2d_135215542106832,7e-06,2e-06,196608,791616,196608,395808,263872,79161,786432,196608,0,0,0,196608,0,0
densenet40,22,256,2,IMC,QConv2d_135215542107408,1.1e-05,6e-06,786432,1183104,786432,591552,394368,118310,1179648,786432,0,0,0,786432,0,0
densenet40,22,256,2,IMC,QConv2d_135215542107600,7e-06,2e-06,196608,791616,196608,395808,263872,79161,786432,196608,0,0,0,196608,0,0
densenet40,22,256,2,IMC,QConv2d_135215542370384,1e-05,6e-06,786432,1380288,786432,690144,460096,138028,1376256,786432,0,0,0,786432,0,0
densenet40,22,256,2,IMC,QConv2d_135215542370576,9e-06,2e-06,196608,791616,196608,395808,263872,79161,786432,196608,0,0,0,196608,0,0
densenet40,22,256,2,IMC,QConv2d_135215542371056,1e-05,6e-06,786432,1577472,786432,788736,525824,157747,1572864,786432,0,0,0,786432,0,0
densenet40,22,256,2,IMC,QConv2d_135215542371248,1.6e-05,2e-06,196608,791616,196608,395808,263872,79161,786432,196608,0,0,0,196608,0,0
densenet40,22,256,2,IMC,QConv2d_135215542371776,9e-06,6e-06,786432,1774656,786432,887328,591552,177465,1769472,786432,0,0,0,786432,0,0
densenet40,22,256,2,IMC,QConv2d_135215542371968,8e-06,2e-06,196608,791616,196608,395808,263872,79161,786432,196608,0,0,0,196608,0,0
densenet40,22,256,2,IMC,QConv2d_135215542372784,1.2e-05,8e-06,983040,1973280,983040,986640,657760,197328,1966080,983040,0,0,0,983040,0,0
densenet40,22,256,2,IMC,QConv2d_135215542373264,7e-06,2e-06,196608,248640,196608,124320,82880,24864,245760,196608,0,0,0,196608,0,0
densenet40,22,256,2,IMC,QConv2d_135215542373456,6e-06,0.0,49152,201792,49152,100896,67264,20179,196608,49152,0,0,0,49152,0,0
densenet40,22,256,2,IMC,QConv2d_135215542374032,7e-06,2e-06,196608,298368,196608,149184,99456,29836,294912,196608,0,0,0,196608,0,0
densenet40,22,256,2,IMC,QConv2d_135215542374224,7e-06,0.0,49152,201792,49152,100896,67264,20179,196608,49152,0,0,0,49152,0,0
densenet40,22,256,2,IMC,QConv2d_135215542374800,7e-06,2e-06,196608,348096,196608,174048,116032,34809,344064,196608,0,0,0,196608,0,0
